property_type,location,price,features
Luxury 4 Bedroom Penthouse Overlooking The Lagoon,"Banana Island, Ikoyi, Lagos","16,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets4 Parking Spaces Save
Luxury 4 Bedroom Maisonette Overlooking The Lagoon,"Banana Island, Ikoyi, Lagos","15,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets4 Parking Spaces Save
4 Bedroom Penthouse Apartment.,"Banana Island, Ikoyi, Lagos","16,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save
3 Bedroom Apartment.,"Old Ikoyi, Ikoyi, Lagos","10,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
4 Bedroom Penthouse Apartment.,"Old Ikoyi, Ikoyi, Lagos","16,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save
3 Bedrooms Apartment,"Old Ikoyi, Ikoyi, Lagos","7,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Tastefully Finished 3 Bedroom Luxury Apartments With Maids Room,"Old Ikoyi, Ikoyi, Lagos","11,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
4 Bedroom Penthouses With An Open Roof Terrace,"Old Ikoyi, Ikoyi, Lagos","19,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save
3 Bedroom Penthouses With An Open Roof Terrace,"Old Ikoyi, Ikoyi, Lagos","16,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
2 Bedroom Penthouses With An Open Roof Terrace,"Old Ikoyi, Ikoyi, Lagos","15,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Luxury 4 Bedroom Apartments With Excellent Facilities,"Banana Island Road, Ikoyi, Lagos","60,000 per annum 
approx. ₦23,955,749",4 Bedrooms4 Bathrooms5 Toilets4 Parking Spaces Save
Tastefully Finished 3 Bedroom Luxury Apartments With Maids Room,"Old Ikoyi, Ikoyi, Lagos","10,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets4 Parking Spaces Save
3 Units Of 3 Bedroom Waterfront Apartments With An Open Floor Plan,"Old Ikoyi, Ikoyi, Lagos","30,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save
4 Bedroom Waterfront Apartment With An Open Floor Plan,"Banana Island, Ikoyi, Lagos","21,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save
Tastefully Finished 3 Bedroom Flats With A Large Living Room,"Old Ikoyi, Ikoyi, Lagos","7,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Luxury 3 Bedroom Apartments With Ample Parking Space,"Banana Island, Ikoyi, Lagos","14,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Lovely 3 Bedroom Apartment With Good Amenities,"Off Kofo Abayomi Street, Victoria Island (VI), Lagos","6,800,000 per annum",3 Bedrooms4 Bathrooms4 Toilets Save
Luxury And Fitted 3 Bedroom Apartment With Boys Quarter,"Agungi, Lekki, Lagos","3,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
3 Bedroom Apartment With Maid Room,"Old Ikoyi, Ikoyi, Lagos","11,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Strikingly Attractive 4 Bedroom Luxury Apartment,"Banana Island, Ikoyi, Lagos","20,000,000 per annum",4 Bedrooms4 Bathrooms4 Toilets3 Parking Spaces Save
Well Maintained 3 Bedroom Flat With Bq Office Space In A Serene Enviro,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","4,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets12 Parking Spaces Save
Grandiose 2 Bedroom Pent-floor Apartment With Excellent Facilities.,"Within Banana Island Estate, Banana Island, Ikoyi, Lagos","18,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Grandiose 2 Bedroom Apartment With Excellent Facilities,"Within Banana Island Estate, Banana Island, Ikoyi, Lagos","10,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Grandiose 3 Bedroom Apartment With State-of-the-art Facilities,"Within Banana Island Estate, Banana Island, Ikoyi, Lagos","15,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Serviced Luxury 3bedroom Flat With A Bq,"Modupe Alakija, Osborne, Ikoyi, Lagos","7,500,000 per annum",3 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save
Spacious And Luxury 3 Bedroom Flats,"Badore, Ajah, Lagos","1,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets12 Parking Spaces Save
New 3 Bedroom Flat Up,"Village, Anthony, Maryland, Lagos","2,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
3 Bedroom Luxury Waterfront Apartments,"Old Ikoyi, Ikoyi, Lagos","30,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save
Premium 3 Bedroom Apartment,"Banana Island, Ikoyi, Lagos","10,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Upscale 2 Bedroom Apartment,"Old Ikoyi, Ikoyi, Lagos","8,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets Save
Premium 2 Bedroom Apartment,"Banana Island, Ikoyi, Lagos","7,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets Save
A 3 Bedroom Block Of Serviced Flats Each,"Banana Island, Ikoyi, Lagos","10,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Fully Furnished 3 Bedroom Apartment With Excellent Facilities,"Off Adeola Odeku Road, Victoria Island (VI), Lagos","17,000,000 per annum",3 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save
Nice And Standard Newly Built Self Contained,"Agungi, Lekki, Lagos","1,000,000 per annum",  Save
Nice And Standard Newly Built Self Contained,"Agungi, Lekki, Lagos","850,000 per annum",  Save
Luxury 3 Bedroom Flats With Excellent Facilities,"Victoria Island (VI), Lagos","25,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Luxury 4 Bedroom Apartments With Breathtaking Views From All The Rooms,"Victoria Island (VI), Lagos","28,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets4 Parking Spaces Save
Luxury 3 Bedrooms Apartment With Breathtaking Views From All The Rooms,"Victoria Island (VI), Lagos","25,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Luxury 2 Bedroom Apartments With Breathtaking Views From All The Rooms,"Victoria Island (VI), Lagos","22,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
24 Units Of 3 Bedrooms Flat And Maisonettes With Excellent Facilities,"Old Ikoyi, Ikoyi, Lagos","10,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Tastefully Finished 3 Bedroom Luxury Apartments With 2 Maids Room,"Old Ikoyi, Ikoyi, Lagos","15,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Tastefully Finished 3 Bedroom Luxury Apartments With Maids Room,"Banana Island, Ikoyi, Lagos","11,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
3 Bedrooms Apartments,"Old Ikoyi, Ikoyi, Lagos","16,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
2 Bedroom Luxury Apartments With Maid's Room Facing Lagoon View,"Victoria Island (VI), Lagos","47,000 per annum 
approx. ₦18,765,337",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
4 Bedrooms Luxury Apartment,"Old Ikoyi, Ikoyi, Lagos","16,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets4 Parking Spaces Save
Tastefully Finished 3 Bedroom Flats With A Large Living Room,"Old Ikoyi, Ikoyi, Lagos","7,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
A Room And Parlor,"Estate, Agungi, Lekki, Lagos","1,200,000 per annum",1 Bathroom1 Toilet1 Parking Space600 sqm Total Area Save
Standard And Spacious 3 Bedroom Flats,"Badore, Ajah, Lagos","700,000 per annum",3 Bedrooms3 Bathrooms3 Toilets12 Parking Spaces Save
Alison By Two Doors (affordable 2 Bedroom With Swimming Pool),"Off Ligali Ayorinde, Victoria Island (VI), Lagos","4,500,000 per annum",2 Bedrooms2 Bathrooms3 Toilets1 Parking Space Save
Luxury 1 Bedroom Apartment With Excellent Facilities,"Lagos Business School, Olokonla, Ajah, Lagos","700,000 per annum",1 Bedroom1 Bathroom2 Toilets6 Parking Spaces Save
Luxury 1 Bedroom Apartment With Excellent Facilities,"Lagos Business School, Olokonla, Ajah, Lagos","800,000 per annum",1 Bedroom1 Bathroom2 Toilets6 Parking Spaces Save
A Room Self Contain,"Agungi Road, Lekki Expressway, Lekki, Lagos","700,000 per annum",1 Bathroom1 Toilet4 Parking Spaces600 sqm Total Area Save
A Spacious Luxurious 3 Bedroom Flat,"Off Olohunkemi Road, Alapere, Ketu, Lagos","1,100,000 per annum",3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save
Luxury & Spacious Three Bedroom Pent Flat With 2 Bq In An Estate.,"Ikota Villa Estate, Lekki, Lagos","3,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save
Luxury And Fully Serviced And Furnished One Bedroom Apartment,"Oniru, Victoria Island (VI), Lagos","2,300,000 per annum",1 Bedroom Save
A Room Self Contained.,"Chevron, Lekki Expressway, Lekki, Lagos","600,000 per annum",1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save
Luxury 3 Bedroom Serviced Flat.,"Old Ikoyi, Ikoyi, Lagos","6,000,000 per annum",3 Bedrooms3 Bathrooms1 Toilet2 Parking Spaces Save
3 Bedrooms Flat,"Osapa, Lekki, Lagos","1,900,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Water Front 4 Bedroom Luxury Apartments With Excellent Facilities,"Banana Island, Ikoyi, Lagos","25,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets4 Parking Spaces Save
2 Bedroom Luxury Apartments With Excellent Facilities,"Banana Island, Ikoyi, Lagos","12,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
3 Bedroom Luxury Apartments With Maid's Room,"Banana Island, Ikoyi, Lagos","15,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save
A Lovely Luxury Bigger Room Self Contained.,"Onike, Yaba, Lagos","600,000 per annum",1 Bathroom1 Toilet1 Parking Space Save
Exquisitely Finished 4 Bedrooms Flat With A Room Bq,"Cooper Road., Old Ikoyi, Ikoyi, Lagos","12,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets4 Parking Spaces Save
2 Bedroom Flat Tastefully Finished,"Ginti Junction, Off Ijede Road, Ikorodu, Lagos","250,000 per annum",2 Bedrooms3 Bathrooms3 Toilets10 Parking Spaces Save
Brand New Luxury 3 Bedroom Apartment With Excellent Amenities,"Off Adeola Odeku., Victoria Island (VI), Lagos","19,965,000 per annum",3 Bedrooms4 Bathrooms4 Toilets3 Parking Spaces Save
3 Bedroom Apartment With Excellent Facilities And Lawn Tennis Court,"Off Bourdillon Road, Old Ikoyi, Ikoyi, Lagos","12,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Grandiose 4 Bedroom Pent-floor Maisonette With Excellent Facilities,"Off Kingsway, Old Ikoyi, Ikoyi, Lagos","32,000,000 per annum",4 Bedrooms4 Bathrooms6 Toilets4 Parking Spaces Save
"Furnished, Fully Serviced Luxury 3 Bedroom Apartment","Off Adeola Odeku Way, Victoria Island (VI), Lagos","15,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
"Upscale, Ample 3 Bedroom Luxury Apartment With Great Facilities","Off Glover Road, Old Ikoyi, Ikoyi, Lagos","13,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Fully Serviced 3 Bedroom Apartment With A Bq And Swimming Pool,"Off Freedom Way, Lekki Phase 1, Lekki, Lagos","3,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
An Executive And Spacious 3 Bedroom Flat With Modern Facilities,"Diran Estate, Sabo, Yaba, Lagos","2,000,000 per annum",3 Bedrooms3 Bathrooms3 Toilets6 Parking Spaces Save
Beautifully Furnished 3 Bedrooms Flat,"Oniru, Victoria Island (VI), Lagos","5,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Luxury 3 Bedroom Apartment,"Old Ikoyi, Ikoyi, Lagos","9,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Furnished 3 Bedroom Pent-floor Maisonette With Massive Balconies,"Off Alfred Rewane Road, Old Ikoyi, Ikoyi, Lagos","12,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
"Ample, 3 Bedroom Luxury Apartment With Excellent Facilities","Off Alfred Rewane Road, Old Ikoyi, Ikoyi, Lagos","8,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Ample 3 Bedroom Apartment With Excellent Facilities,"Off Bourdillon Road, Old Ikoyi, Ikoyi, Lagos","7,500,000 per annum",3 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
A Newly Renovated 8 Units Of 2 Bedrooms Flat With Gym House,"Off Ademola Adetokunbo Street, Victoria Island (VI), Lagos","4,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Premium 2 Bedroom Apartment,"Banana Island, Ikoyi, Lagos","10,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets Save
Luxury 3 Bedroom Flat,"Gerrad Road, Old Ikoyi, Ikoyi, Lagos","6,500,000 per annum",3 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save
4 Units Of 3 Bedroom Flats,"Off Fola Osibo Street, Lekki Phase 1, Lekki, Lagos","16,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets950 sqm Total Area Save
3 Bedroom Flat,"Off Akin Adesola Street, Victoria Island (VI), Lagos","5,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
Luxury 3 Bedroom Apartment,"Parkview, Ikoyi, Lagos","5,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
3 Bedroom Flat,"Oniru, Victoria Island (VI), Lagos","3,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Upscale Penthouse Suite,"Oniru, Victoria Island (VI), Lagos","4,500,000 per annum",2 Bedrooms2 Bathrooms3 Toilets Save
"4 Bedroom Luxury Apartments, Maisonette, And Terraces","Old Ikoyi, Ikoyi, Lagos","9,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save
Luxury 4 Bedrooms Pent House,"Old Ikoyi, Ikoyi, Lagos","15,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets Save
Brand New 6 Units Of 3 Bedroom Flat.,"Oniru, Victoria Island (VI), Lagos","5,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Upscale 2 Bedroom Apartment,"Old Ikoyi, Ikoyi, Lagos","13,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets Save
Premium 2 Bedroom Apartment,"Oniru, Victoria Island (VI), Lagos","3,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets Save
Beautiful 3 Bedroom Flat With Bq,"Victoria Island (VI), Lagos","3,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Newly Built And Luxuriously Finished Three (3) Bedroom Flat With Bq,"Banana Island, Ikoyi, Lagos","13,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
Exquisitely Finished 2 Bedroom Apartment,"Badore, Ajah, Lagos","1,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets3 Parking Spaces Save
Spacious 3 Bedroom Apartment,"Jakande, Lekki, Lagos","3,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Luxury 3 Bedroom Apartment With Excellent Facilities,"Off Ozumba Mbadiwe Street, Victoria Island (VI), Lagos","9,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Upscale 4 Bedroom Waterside Apartment,"Ikoyi, Lagos","100,000 per annum 
approx. ₦39,926,248",4 Bedrooms4 Bathrooms5 Toilets Save
Luxury 3 Bedroom Apartment,"Ikoyi, Lagos","100,000 per annum 
approx. ₦39,926,248",3 Bedrooms3 Bathrooms4 Toilets Save
Luxury 3 Bedroom Flat,"Oniru, Victoria Island (VI), Lagos","3,500,000 per annum",3 Bedrooms4 Toilets Save
Lovely Newly Built 2 Bedroom Flat,"Ikate Elegushi, Lekki, Lagos","2,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets1 Parking Space Save
A Well Finished 2 Exquisitely Furnished 2 Bedroom Flat.,"Behind Kfc, Pedro, Gbagada, Lagos","2,000,000 per annum",2 Bedrooms3 Bathrooms3 Toilets Save
Executive 4 Bedroom Service Apartment With B/q,"Queen's Drive, Old Ikoyi, Ikoyi, Lagos","15,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets20 Parking Spaces Save
Luxury 1 Bedroom Apartment,"Old Ikoyi, Ikoyi, Lagos","6,000,000 per annum",1 Bedroom1 Bathroom2 Toilets Save
Luxury 3 Bedroom Apartment,"Victoria Island (VI), Lagos","15,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Luxury 3 Bedroom Flat,"Tiemiyu Savage, Victoria Island Extension, Victoria Island (VI), Lagos","6,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Luxury 4 Bedroom Pent-floor Apartment With State-of-the-art Facilities,"Banana Island Estate, Banana Island, Ikoyi, Lagos","19,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save
Exceptionally Designed 3 Bedroom Apartment,"Banana Island, Ikoyi, Lagos","15,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Exquisitely Furnished 4 Bedroom Pent-floor Maisonette,"Off Ahmadu Bello Way, Victoria Island (VI), Lagos","200,000 per annum 
approx. ₦79,852,496",4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save
"Upscale, Luxury 3 Bedroom Apartment With Excellent Facilities","Off Bourdillon Road, Old Ikoyi, Ikoyi, Lagos","13,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Upscale 4 Bedroom Pent-floor Maisonette With Excellent Facilities,"Off Bourdillon Road, Old Ikoyi, Ikoyi, Lagos","23,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save
"Upscale, Luxury 4 Bedroom Apartment With Excellent Facilities","Within Banana Island Estate, Banana Island, Ikoyi, Lagos","90,000 per annum 
approx. ₦35,933,623",4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save
Nicely Finished One (1) Bedroom Terrace House (maisonette),"Emerald Court, Beside Lbs, Ajah, Lagos","900,000 per annum",1 Bedroom1 Bathroom2 Toilets1 Parking Space Save
Premium 1 Bedroom Furnished Apartment,"Victoria Island (VI), Lagos","30,000 per annum 
approx. ₦11,977,874",1 Bedroom1 Bathroom2 Toilets Save
Premium 3 Bedroom Apartment,"Banana Island, Ikoyi, Lagos","15,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
"3 Bedroom Flat, Up","Balogun, Allen, Ikeja, Lagos","1,400,000 per annum",3 Bedrooms2 Bathrooms2 Toilets1 Parking Space Save
1 Bedroom Flat (furnished),"Oniru, Victoria Island (VI), Lagos","3,300,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
3 Bedroom Flat With Maid's Room,"Alexandria Quarter, Sangotedo, Ajah, Lagos","1,400,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Luxury And Serviced 3 Bedroom Apartment With Necessary Facilities,"Off Admiralty Road, Lekki Phase 1, Lekki, Lagos","4,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Luxury 2 Bedroom Apartment With Excellent Facilities,"Within Oniru Estate, Victoria Island Extension, Victoria Island (VI), Lagos","4,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Furnished 2 Bedroom Luxury Apartment With Excellent Facilities,"Off Glover Road, Old Ikoyi, Ikoyi, Lagos","8,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Luxury 2 Bedroom Pent-floor Apartment With State-of-the-art Facilities,"Off Osborne Road, Old Ikoyi, Ikoyi, Lagos","14,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
3 Bedroom Flat,"Lotto Road , Lagos-ibadan Expressway, KM 46, Ogun","600,000 per annum",3 Bedrooms3 Toilets Save
3 Bedroom Luxury Apartments With Maids Room,"Banana Island, Ikoyi, Lagos","15,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save
One Bedroom Flat,"Obawole, Ogba, Ikeja, Lagos","300,000 per annum",1 Bedroom1 Bathroom1 Toilet2 Parking Spaces Save
"Brand New, Fully Serviced And Nicely Finished Three (3) Bedroom Apartments","Banana Island, Ikoyi, Lagos","8,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Well Built 3 Bedroom Apartment,"Old Ikoyi, Ikoyi, Lagos","8,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Premium 3 Bedroom Apartment,"Banana Island, Ikoyi, Lagos","6,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Luxurious And Spacious 3 Bedroom Apartment,"Banana Island, Ikoyi, Lagos","15,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Luxury 3 Bedroom Flat With Necessary Facilities,"Ikoyi, Lagos","7,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save
One Room Self-contained Hostel For Females,"By Onike-roundabout., Onike, Yaba, Lagos","350,000 per annum",  Save
Luxury And Serviced One Bedroom Apartment,"Chisco, Ikate Elegushi, Lekki, Lagos","2,000,000 per annum",1 Bedroom1 Bathroom2 Toilets Save
Finely Finished 3 Bedroom Premium Apartment,"Banana Island, Ikoyi, Lagos","15,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
3 Bedroom Flat,"Ikoyi, Lagos","20,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
New 3 Bedroom Flat With Modern Facilities,"Ifako, Gbagada, Lagos","1,200,000 per annum",3 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
"Magnificent Standard 3 Bedroom Flat In Gated Estate, Well Secure","After Lagos Business School Lekki-ajah, Lekki, Lagos","1,200,000 per annum",3 Bedrooms3 Bathrooms4 Toilets8 Parking Spaces Save
Excellent Specious Sweet 2 Bedroom Flat In Good Estate.,"Novare Mall Lekki Ajah. 5 Minutes Drive From Lagos Business School, Lekki Phase 2, Lekki, Lagos","1,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets8 Parking Spaces Save
Furnished 3 Bedroom Serviced Apartment With Necessary Facilities,"Elf Bus Stop, Lekki Phase 1, Lekki, Lagos","3,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Lovely 4 Units Of 3 Bedroom Flat,"Lekki Phase 1, Lekki, Lagos","5,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Miniflat Upstairs,"Gated Estate Agungi Ajiran Road Lekki Lagos, Lekki, Lagos","1,000,000 per annum",1 Bedroom2 Toilets Save
Brand New Luxury 3bedroom,"Sunbay Estate, Ologolo, Lekki, Lagos","2,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets5 Parking Spaces Save
Executive 3 Bedroom Apartment With Excellent Finishing,"Egberongbe Str Ladlak Shomolu Lagos, Shomolu, Lagos","900,000 per annum",3 Bedrooms2 Bathrooms2 Toilets Save
Specious 3bedroom Flat,"Opposite Agungi Lekki Lagos, Ologolo, Lekki, Lagos","2,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
3 Bedroom Apartments,"Banana Island, Ikoyi, Lagos","8,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Standard Mini Flat,"Council Isheri, Idimu, Lagos","300,000 per annum",1 Bedroom2 Bathrooms2 Toilets8 Parking Spaces Save
Luxury 2 Bedrooms Apartment With Excellent Finishing,"Alapere, Ketu, Lagos","700,000 per annum",2 Bedrooms2 Bathrooms3 Toilets Save
Nice And Lovely 3 Nos Of Mini Flat (1 Bedroom Apartment),"Lawanson, Surulere, Lagos","600,000 per annum",1 Bedroom2 Bathrooms2 Toilets3 Parking Spaces Save
Extraordinary Ensuite Modern 1 Bedroom Flat,"Bailey Street, Abule Ijesha, Yaba, Lagos","650,000 per annum",1 Bedroom2 Bathrooms2 Toilets8 Parking Spaces Save
2 Bedrooms Furnished Apartment,"Ikoyi, Lagos","10,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
1 Bedroom Flat,"Enugu Street, Off Lagos Street, Garki 2, Garki, Abuja","600,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
Super Tastefully Finished Serviced Minifla,"Badore, Ajah, Lagos","700,000 per annum",1 Bedroom2 Bathrooms2 Toilets1 Parking Space Save
Super Tastefully Serviced Brand New 2 Bedroom Flat,"Badore, Ajah, Lagos","1,200,000 per annum",2 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save
A Brand Newly Built Ensuites Self Compound 2 Bedroom Flat,"Gbagada, Lagos","850,000 per annum",2 Bedrooms2 Bathrooms3 Toilets3 Parking Spaces Save
Luxry 2 Bedroom Apartment,"Sangotedo, Ajah, Lagos","950,000 per annum",2 Bedrooms2 Bathrooms3 Toilets8 Parking Spaces Save
Brand Newly Built 2 Bedroom Flat,"Oniru, Victoria Island (VI), Lagos","2,500,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
A Room From A 3 Bedroom Shared Apartment With A Wardrobe,"Even Estate Badore Road, Badore, Ajah, Lagos","250,000 per annum",1 Bathroom1 Toilet3 Parking Spaces Save
An Executive Brand Newly Built Ensuites 3 Bedroom Flat,"Axis, Ogudu, Lagos","1,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
A Fairly Used & Spacious 3 Bedroom Flat,"Palmgrove, Shomolu, Lagos","700,000 per annum",3 Bedrooms2 Bathrooms2 Toilets1 Parking Space Save
Luxury 1 Bedroom Self Contained With Excellent Facilities,"Onosa Town, Ibeju Lekki, Lagos","130,000 per annum",1 Bathroom1 Toilet6 Parking Spaces450 sqm Total Area Save
Luxury One Bedroom Miniflat,"Estate, Oniru, Victoria Island (VI), Lagos","2,000,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
Miniflat,"Jakande, Lekki, Lagos","500,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
Luxury 2 Bedroom Flat,"Opic, Isheri North, Ogun","1,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets Save
Brand New 2 Bedrooms Flat,"Happyland Estate, Olokonla, Ajah, Lagos","1,200,000 per annum",2 Bedrooms2 Bathrooms3 Toilets9 Parking Spaces Save
Nice And Standard Brand New Self Contained,"Agungi, Lekki, Lagos","800,000 per annum",  Save
